fold,auc,precision@0.5,recall@0.5,f1@0.5,thr_youden,thr_maxf1
1,0.8447916666666667,0.6571428571428571,0.71875,0.6865671641791045,0.5519672975335321,0.5519672975335321
2,0.8385416666666666,0.6666666666666666,0.6875,0.676923076923077,0.6481938660836877,0.59
3,0.8098958333333334,0.6,0.65625,0.6268656716417911,0.43355854257339643,0.41999999999999993
4,0.8104166666666667,0.5476190476190477,0.71875,0.6216216216216216,0.42531867828137754,0.41999999999999993
5,0.7963541666666666,0.6785714285714286,0.59375,0.6333333333333333,0.4776946091737244,0.4699999999999999
